Cross-Curriculum Priority,Organising ideas title,Description,Organising idea indicator,Code
Aboriginal and Torres Strait Islander Histories and Cultures,,"<p>The Aboriginal and Torres Strait Islander Histories and Cultures cross-curriculum priority provides opportunities for all students to deepen their knowledge of Australia by learning about the world’s oldest continuous living cultures.</p><p>The Aboriginal and Torres Strait Islander Histories and Cultures cross-curriculum priority engages with Australian First Nations Peoples’ knowledges, experiences, values and perspectives. Through the Australian Curriculum, students learn that contemporary First Nations Australian communities are strong, resilient, rich and diverse. It also allows Aboriginal and Torres Strait Islander students to see themselves and their cultures reflected in the curriculum.</p>",,A_TSI
Aboriginal and Torres Strait Islander Histories and Cultures,Country/Place,"These organising ideas recognise the special connection of First Nations Australians to Country/Place and acknowledge the impacts of colonisation on their ownership of, and access to, Country/Place.",,A_TSICP
Aboriginal and Torres Strait Islander Histories and Cultures,Country/Place,,"First Nations communities of Australia maintain a deep connection to, and responsibility for, Country/Place and have holistic values and belief systems that are connected to the land, sea, sky and waterways.",A_TSICP1
Aboriginal and Torres Strait Islander Histories and Cultures,Country/Place,,"<p>The occupation and colonisation of Australia by the British, under the now overturned doctrine of <em>terra nullius</em>, were experienced by First Nations Australians as an invasion that denied their occupation of, and connection to, Country/Place.</p>",A_TSICP2
Aboriginal and Torres Strait Islander Histories and Cultures,Country/Place,,"<p>The First Peoples of Australia are the Traditional Owners of Country/Place, protected in Australian Law by the <em>Native Title Act 1993</em> which recognises pre-existing sovereignty, continuing?systems of law and customs, and connection to Country/Place. This recognised legal right provides for economic sustainability and a voice into the development?and management of Country/Place.</p>",A_TSICP3
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,"These organising ideas examine the cultural diversity of the First Peoples of Australia and the First Nations Peoples of the Torres Strait, and recognise Australian First Nations Peoples as belonging to the world’s oldest continuous cultures. ",,A_TSIC
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,,"First Nations Australian societies are diverse and have distinct cultural expressions such as language, customs and beliefs. As First Nations Peoples of Australia, they have the right to maintain, control, protect and develop their cultural expressions, while also maintaining the right to control, protect and develop culture as Indigenous Cultural and Intellectual Property.",A_TSIC1
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,,"First Nations Australians’ ways of life reflect unique ways of being, knowing, thinking and doing.",A_TSIC2
Aboriginal and Torres Strait Islander Histories and Cultures,Culture,,"The First Peoples of Australia (Aboriginal Peoples) belong to the world’s oldest continuous cultures. First Nations Australians demonstrate resilience in the maintenance, practice and revitalisation of culture despite the many historic and enduring impacts of colonisation, and continue to celebrate and share the past, present and future manifestations of their cultures.",A_TSIC3
Aboriginal and Torres Strait Islander Histories and Cultures,People,"These organising ideas recognise that Australia has 2 distinct First Nations Peoples, each encompassing a diversity of nations and peoples, and examine the significant contributions of First Nations Australians histories and cultures on a local, national and global scale.",,A_TSIP
Aboriginal and Torres Strait Islander Histories and Cultures,People,,"Australia has 2 distinct First Nations Peoples; each encompasses a diversity of nations across Australia. Aboriginal Peoples are the first peoples of Australia and have occupied the Australian continent for more than 60,000 years. Torres Strait Islander Peoples are the First Nations Peoples of the Torres Strait and have occupied the region for over 4,000 years. ",A_TSIP1
Aboriginal and Torres Strait Islander Histories and Cultures,People,,"First Nations Australians have sophisticated political, economic and social organisation systems, which include family and kinship structures, laws, traditions, customs, land tenure systems, and protocols for strong governance and authority.",A_TSIP2
