General Capability,Element,Sub-Element,Description,Level,Code,Indicator
Critical and Creative Thinking,,,,,CCT,
Critical and Creative Thinking,Inquiring,,"<p>The Inquiring element includes 2 sub-elements:</p>
<p>These sub-elements are:</p>
<ul>
<li>Develop questions</li>
<li>Identify, process and evaluate information.</li>
</ul>",,CCTINQ,
Critical and Creative Thinking,Inquiring,Develop questions,"<p>This sub-element supports students to narrow or expand the focus of their thinking and explore ideas and concepts critically and creatively. When they develop different kinds of questions, students can further their inquiry. They can find more information about a topic and form a better understanding of how something works or why something is the way it is.</p>",,CCTINQA,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 1 (Foundation),CCTINQA1,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 1 (Foundation),CCTINQA1_1,develop questions to explore a familiar idea or topic
Critical and Creative Thinking,Inquiring,Develop questions,,Level 1 (Foundation),CCTINQA1_2,questions developed reflect their curiosity about the world
Critical and Creative Thinking,Inquiring,Develop questions,,Level 2 (Years 1-2),CCTINQA2,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 2 (Years 1-2),CCTINQA2_1,develop questions to explore a familiar idea or topic
Critical and Creative Thinking,Inquiring,Develop questions,,Level 2 (Years 1-2),CCTINQA2_2,questions developed are fit for the purpose of the investigation 
Critical and Creative Thinking,Inquiring,Develop questions,,Level 3 (Years 3-4),CCTINQA3,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 3 (Years 3-4),CCTINQA3_1,develop?questions to examine unfamiliar ideas and topics
Critical and Creative Thinking,Inquiring,Develop questions,,Level 3 (Years 3-4),CCTINQA3_2,questions developed support the process of improving knowledge and understanding about a topic or investigation 
Critical and Creative Thinking,Inquiring,Develop questions,,Level 4 (Years 5-6),CCTINQA4,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 4 (Years 5-6),CCTINQA4_1,develop?questions to examine unfamiliar ideas and topics
Critical and Creative Thinking,Inquiring,Develop questions,,Level 4 (Years 5-6),CCTINQA4_2,questions developed focus on improving understanding about a topic and clarifying information about processes or procedures 
Critical and Creative Thinking,Inquiring,Develop questions,,Level 5 (Years 7-8),CCTINQA5,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 5 (Years 7-8),CCTINQA5_1,develop questions to investigate complex issues and topics
Critical and Creative Thinking,Inquiring,Develop questions,,Level 5 (Years 7-8),CCTINQA5_2,questions developed assist in forming an understanding of why phenomena or issues arise
Critical and Creative Thinking,Inquiring,Develop questions,,Level 6 (Years 9-10),CCTINQA6,
Critical and Creative Thinking,Inquiring,Develop questions,,Level 6 (Years 9-10),CCTINQA6_1,develop questions to investigate complex issues and topics
Critical and Creative Thinking,Inquiring,Develop questions,,Level 6 (Years 9-10),CCTINQA6_2,questions developed facilitate increasing understanding of abstract ideas and concepts 
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information","<p>This sub-element supports students to seek information from a range of sources, make decisions about expert or personal opinion and understand which sources are trustworthy, relevant and useful.</p>",,CCTINQB,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 1 (Foundation),CCTINQB1,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 1 (Foundation),CCTINQB1_1,identify and explore relevant points in information provided on a topic
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 1 (Foundation),CCTINQB1_2,prioritise the information that is most relevant to the topic of study 
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 2 (Years 1-2),CCTINQB2,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 2 (Years 1-2),CCTINQB2_1,"identify and explore relevant information from a range of sources, including visual information and digital sources "
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 2 (Years 1-2),CCTINQB2_2,identify and explain similarities and differences in selected information 
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 3 (Years 3-4),CCTINQB3,
Critical and Creative Thinking,Inquiring,"Identify, process and evaluate information",,Level 3 (Years 3-4),CCTINQB3_1,"identify and examine relevant information and opinion from a range of sources, including visual information and digital sources "
